地区,センター,燃やせる,古紙類（地区指定場所）,古紙類（指定場所以外）,不燃・有害,資源・古着
木次 東日登,UES,火 金,20170416 20170514 20170618 20170716 20170813 20170917 20171015 20171112 20171217 20180121 20180218 20180318,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170418 20170518 20170619 20170720 20170818 20170915 20171019 20171117 20171215 20180119 20180216 20180316,20170427 20170529 20170627 20170728 20170829 20170928 20171030 20171128 20171225 20180129 20180226 20180327
木次 寺領,UES,火 金,20170416 20170514 20170618 20170716 20170813 20170917 20171015 20171112 20171217 20180121 20180218 20180318,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170418 20170518 20170619 20170720 20170818 20170915 20171019 20171117 20171215 20180119 20180216 20180316,20170427 20170529 20170627 20170728 20170829 20170928 20171030 20171128 20171225 20180129 20180226 20180327
木次 宇谷,UES,火 金,20170416 20170514 20170618 20170716 20170813 20170917 20171015 20171112 20171217 20180121 20180218 20180318,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170418 20170518 20170619 20170720 20170818 20170915 20171019 20171117 20171215 20180119 20180216 20180316,20170427 20170529 20170627 20170728 20170829 20170928 20171030 20171128 20171225 20180129 20180226 20180327
木次 西日登,UES,火 金,20170416 20170514 20170618 20170716 20170813 20170917 20171015 20171112 20171217 20180121 20180218 20180318,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170420 20170519 20170620 20170721 20170822 20170921 20171020 20171120 20171218 20180122 20180219 20180320,20170428 20170530 20170629 20170731 20170831 20170929 20171031 20171130 20171226 20180130 20180227 20180329
木次 上熊谷,UES,火 金,20170416 20170514 20170618 20170716 20170813 20170917 20171015 20171112 20171217 20180121 20180218 20180318,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170420 20170519 20170620 20170721 20170822 20170921 20171020 20171120 20171218 20180122 20180219 20180320,20170428 20170530 20170629 20170731 20170831 20170929 20171031 20171130 20171226 20180130 20180227 20180329
木次 湯村,UES,火 金,20170416 20170514 20170618 20170716 20170813 20170917 20171015 20171112 20171217 20180121 20180218 20180318,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170420 20170519 20170620 20170721 20170822 20170921 20171020 20171120 20171218 20180122 20180219 20180320,20170428 20170530 20170629 20170731 20170831 20170929 20171031 20171130 20171226 20180130 20180227 20180329
木次 平田,UES,火 金,20170416 20170514 20170618 20170716 20170813 20170917 20171015 20171112 20171217 20180121 20180218 20180318,20170419 20170517 20170621 20170719 20170816 20170920 20171018 20171115 20171220 20180124 20180221 20180321,20170420 20170519 20170620 20170721 20170822 20170921 20171020 20171120 20171218 20180122 20180219 20180320,20170428 20170530 20170629 20170731 20170831 20170929 20171031 20171130 20171226 20180130 20180227 20180329
三刀屋町 三刀屋地区,UES,火 金,20170423 20170521 20170625 20170723 20170820 20170924 20171022 20171119 20171224 20180128 20180225 20180325,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170421 20170522 20170622 20170724 20170824 20170922 20171023 20171121 20171219 20180123 20180220 20180322,20170403 20170501 20170601 20170703 20170801 20170901 20171002 20171102 20171201 20180104 20180201 20180302
三刀屋町 一宮地区,UES,火 金,20170423 20170521 20170625 20170723 20170820 20170924 20171022 20171119 20171224 20180128 20180225 20180325,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170425 20170523 20170623 20170725 20170825 20170926 20171024 20171124 20171221 20180125 20180222 20180323,20170404 20170502 20170602 20170704 20170803 20170905 20171003 20171107 20171205 20180109 20180202 20180306
三刀屋町 飯石地区,UES,火 金,20170423 20170521 20170625 20170723 20170820 20170924 20171022 20171119 20171224 20180128 20180225 20180325,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170425 20170523 20170623 20170725 20170825 20170926 20171024 20171124 20171221 20180125 20180222 20180323,20170404 20170502 20170602 20170704 20170803 20170905 20171003 20171107 20171205 20180109 20180202 20180306
三刀屋町 鍋山地区,UES,火 金,20170423 20170521 20170625 20170723 20170820 20170924 20171022 20171119 20171224 20180128 20180225 20180325,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170424 20170525 20170626 20170727 20170828 20170925 20171026 20171127 20171222 20180126 20180223 20180326,20170406 20170508 20170605 20170706 20170804 20170904 20171005 20171106 20171204 20180105 20180205 20180305
三刀屋町 中野地区,UES,火 金,20170423 20170521 20170625 20170723 20170820 20170924 20171022 20171119 20171224 20180128 20180225 20180325,20170426 20170524 20170628 20170726 20170823 20170927 20171025 20171122 20171227 20180131 20180228 20180328,20170424 20170525 20170626 20170727 20170828 20170925 20171026 20171127 20171222 20180126 20180223 20180326,20170406 20170508 20170605 20170706 20170804 20170904 20171005 20171106 20171204 20180105 20180205 20180305
